term,definition,category,source
Bid,The highest price a buyer is willing to pay for a security.,Trading,Public Finance Glossary
Blue Chip Stocks,"Shares of large, established companies with stable earnings and dividend histories.",Equities,Public Finance Glossary
Board Lot,The standard trading unit for a security on a stock exchange.,Trading,Public Finance Glossary
Bonds,Debt securities where the issuer promises to pay interest and repay principal at maturity.,Fixed Income,Public Finance Glossary
Book Value,The net asset value of a company divided by its outstanding common shares.,Accounting,Public Finance Glossary
Bull Market,A market environment characterized by rising prices.,Market Conditions,Public Finance Glossary
Business Day,Any day on which most businesses and financial institutions are open.,Operations,Public Finance Glossary
Call Option,An option contract granting the right to buy a security at a specified price within a set time.,Derivatives,Public Finance Glossary
Callable Security,A security that can be redeemed by the issuer before maturity.,Fixed Income,Public Finance Glossary
Capital,Financial resources or physical assets used to generate economic value.,Finance Fundamentals,Public Finance Glossary
Capital Gain or Loss,Profit or loss resulting from the sale of a capital asset.,Taxation,Public Finance Glossary
Cash Flow,Net income adjusted for non cash expenses to reflect actual cash generation.,Financial Analysis,Public Finance Glossary
Central Bank,A national institution responsible for regulating money supply and monetary policy.,Central Banking,Public Finance Glossary
Commercial Paper,Short term unsecured debt issued by corporations.,Money Markets,Public Finance Glossary
Common Stock,Equity securities representing ownership with voting rights.,Equities,Public Finance Glossary
Compound Interest,Interest calculated on both principal and previously earned interest.,Finance Fundamentals,Public Finance Glossary
Consolidated Financial Statements,Financial statements combining a parent company and its subsidiaries.,Financial Reporting,Public Finance Glossary
Consumer Price Index,An inflation measure tracking changes in prices of a fixed basket of goods.,Economic Indicators,Public Finance Glossary
Convertible Security,A security that can be converted into common shares.,Hybrid Securities,Public Finance Glossary
Coupon,The interest payment attached to a bond.,Fixed Income,Public Finance Glossary
Current Assets,Assets expected to be converted into cash within one year.,Accounting,Public Finance Glossary
Current Liabilities,Obligations due within one year.,Accounting,Public Finance Glossary
Current Ratio,A liquidity ratio measuring current assets divided by current liabilities.,Financial Analysis,Public Finance Glossary
Debt,Money borrowed that must be repaid with interest.,Finance Fundamentals,Public Finance Glossary
Default,Failure to meet debt obligations as agreed.,Credit Risk,Public Finance Glossary
Depreciation,The allocation of the cost of a tangible asset over its useful life.,Accounting,Public Finance Glossary
Dilution,Reduction in earnings per share caused by issuing additional shares.,Equities,Public Finance Glossary
Dividends,Distributions of company profits to shareholders.,Equities,Public Finance Glossary
Dollar Cost Averaging,An investment strategy involving regular fixed investments over time.,Investment Strategy,Public Finance Glossary
Earnings Per Share,Net income attributable to each common share outstanding.,Financial Analysis,Public Finance Glossary
Equities,Ownership interests in a corporation.,Capital Markets,Public Finance Glossary
Ex Dividend,A stock trading without the right to the declared dividend.,Equities,Public Finance Glossary
Exercise Price,The price at which an option can be exercised.,Derivatives,Public Finance Glossary
Expiration Date,The date on which an option or right becomes invalid.,Derivatives,Public Finance Glossary
Extra Dividend,A dividend paid in addition to the regular dividend.,Equities,Public Finance Glossary
Face Value,"The amount printed on a bond or debenture certificate, representing the principal the issuer promises to repay at maturity, not the market value.",Fixed Income,Public Disclosure
Fails,Failure to deliver a security on the settlement date or the agreed delivery date for a trade.,Settlement,Public Disclosure
Fair Market Value,The price an asset would sell for between a willing buyer and a willing seller under normal conditions.,Valuation,Public Disclosure
Fee-Based Accounts,Client accounts where the dealer charges a fee based on account value rather than per trade commissions.,Wealth Management,Public Disclosure
Fill-or-Kill,"An order that must be executed immediately in full, otherwise any unfilled portion is cancelled.",Trading,Public Disclosure
Final Prospectus,The prospectus accepted for filing by securities regulators that contains complete information about a new issue and is provided to buyers.,Capital Markets,Public Disclosure
Finance or Acceptance Company Paper,"Short term negotiable debt securities, similar to commercial paper, issued by finance companies.",Money Markets,Public Disclosure
Financial Instruments,"Debt instruments or equity securities used to raise capital or invest, including loans, bonds, and shares.",Finance Fundamentals,Public Disclosure
Financial Intermediary,"An institution that accepts funds and invests or lends them on behalf of savers, such as banks, insurers, and mutual funds.",Financial System,Public Disclosure
Firm Bid - Firm Offer,"A firm bid commits to buy a specified amount at a stated price for a stated time unless released, a firm offer commits to sell under similar terms.",Trading,Public Disclosure
First-In-First-Out (FIFO),An inventory valuation method assuming the earliest purchased items are the first used or sold.,Accounting,Public Disclosure
Fiscal Agent,A dealer appointed by an issuer to advise on financing and manage underwriting or related financial matters.,Capital Markets,Public Disclosure
Fiscal Policy,Government policy that influences the economy through taxation and spending levels and allocation.,Macroeconomics,Public Disclosure
Fiscal Year,"A company’s accounting year, which may differ from the calendar year.",Accounting,Public Disclosure
Fixed Asset,"A long term tangible asset held for use, such as land, buildings, and machinery.",Accounting,Public Disclosure
Fixed Charge,Required ongoing expenses such as interest on debt that must be paid and reduce income.,Financial Analysis,Public Disclosure
Fixed Income Securities,"Securities that provide predictable interest or dividend payments, such as bonds, debentures, and preferred shares.",Fixed Income,Public Disclosure
Flat,"A bond price quote that excludes accrued interest, often used when interest is in default.",Fixed Income,Public Disclosure
Floor Traders,Exchange floor personnel who execute buy and sell orders for their firm and clients.,Trading,Public Disclosure
Flow-Through Shares,"Shares that pass eligible tax deductions and credits, often exploration related, from the corporation to the investor.",Taxation,Public Disclosure
Formula Investing,Rule based strategies that shift allocations based on market levels or triggers.,Investment Strategy,Public Disclosure
Fully Diluted Earnings Per Share,"EPS calculated assuming all convertibles, options, and warrants are converted into common shares.",Financial Analysis,Public Disclosure
Fundamental Analysis,"Security analysis based on business fundamentals such as sales, earnings, and dividends, rather than price patterns.",Investment Analysis,Public Disclosure
Funded Debt,"Long term debt obligations payable after one year, including bonds, debentures, and notes.",Corporate Finance,Public Disclosure
Futures Contract,An agreement to buy or sell a commodity or financial asset at a future date under set terms.,Derivatives,Public Disclosure
General Mortgage Bond,"A bond secured by a blanket mortgage on company property, typically subordinate to senior mortgages.",Fixed Income,Public Disclosure
Goodwill,"An intangible asset representing the premium paid over net asset value, often reflecting brand and reputation.",Accounting,Public Disclosure
Gross-up and Credit System,"A Canadian dividend tax mechanism where eligible dividends are grossed up and a tax credit is applied, unlike interest income.",Taxation,Public Disclosure
Growth Stock,"A stock of a company expected to grow, often reinvesting earnings instead of paying dividends, targeting capital gains.",Equities,Public Disclosure
GT - Good Through order,"An order valid until filled, cancelled, or until the close of business on a specified expiry date.",Trading,Public Disclosure
GTC Order,A good till cancelled order that remains active until executed or cancelled.,Trading,Public Disclosure
Guaranteed Investment Certificates (GICs),"A deposit instrument paying a predetermined interest rate for a stated term, typically not redeemable or transferable before maturity.",Retail Banking,Public Disclosure
Hedge,A transaction intended to reduce exposure to price movements and limit potential losses.,Risk Management,Public Disclosure
High,The highest price paid for a security during a specified period.,Market Data,Public Disclosure
Holding Company,"A company that owns securities of other companies, often holding voting control.",Corporate Structure,Public Disclosure
Horizontal Spread,An options strategy buying and selling the same type of option with the same strike price but different expiry months.,Derivatives,Public Disclosure
Hypothecate,To pledge securities as collateral for a loan.,Credit,Public Disclosure
"If, as and when","A conditional transaction for a security authorized but not yet issued, often trading before listing.",Capital Markets,Public Disclosure
In-and-Out,Buying and selling the same security over a short period to profit from short term price changes.,Trading,Public Disclosure
In-The-Money Option,"A call is in the money if strike is below market price, a put is in the money if strike is above market price.",Derivatives,Public Disclosure
Income Bond,"A bond where interest is paid only if the issuer earns sufficient income, with unpaid interest sometimes accumulating.",Fixed Income,Public Disclosure
Income Stock,"A stock expected to pay an attractive dividend, typically from a mature company with slower growth.",Equities,Public Disclosure
Index or Average,A statistical measure tracking market or economic performance based on selected components.,Market Indicators,Public Disclosure
Insider,"A person with access to non public information, including directors, officers, certain professionals, and major shareholders.",Regulation,Public Disclosure
Insider Report,A report of insiders’ transactions in a company’s shares submitted to regulators for monitoring.,Regulation,Public Disclosure
Installment Debentures,"A bond or debenture where portions of principal become due annually, also called a serial issue.",Fixed Income,Public Disclosure
Installment Receipts,"A new share issue paid in installments rather than one payment, also called partially paid shares.",Equity Markets,Public Disclosure
Institutional Clients,"Large clients such as banks, insurers, pensions, and corporations served by a dealer’s institutional desk.",Capital Markets,Public Disclosure
Intangible Asset,"A non physical asset such as goodwill, patents, trademarks, and copyrights.",Accounting,Public Disclosure
Interest,A charge paid by a borrower to a lender for the use of funds.,Finance Fundamentals,Public Disclosure
Interim Certificates,Temporary certificates delivered at issuance that are later exchanged for definitive certificates.,Securities Operations,Public Disclosure
Interim Statements,"Financial statements covering a period within a fiscal year, such as quarterly reports.",Financial Reporting,Public Disclosure
Intrinsic Value,"For options and rights, the amount by which the underlying market price exceeds the exercise price for calls, or is below for puts.",Derivatives,Public Disclosure
Inventory,"Goods held for sale or production inputs, and for dealers, securities held to facilitate trading and client positions.",Accounting,Public Disclosure
Inventory Turnover Ratio,"Cost of goods sold divided by inventory, sometimes converted to days, indicating efficiency in selling inventory.",Financial Analysis,Public Disclosure
Investment,"Ownership of assets to earn income, capital appreciation, or both.",Finance Fundamentals,Public Disclosure
Investment Advisor,A registered individual who provides investment advice and executes trades for clients.,Wealth Management,Public Disclosure
Investment Counsellor,"A fee based specialist providing advice and research, typically for larger accounts.",Wealth Management,Public Disclosure
Investment Dealer,"A firm providing trading, underwriting, research, and advisory services via registered advisors.",Capital Markets,Public Disclosure
Investment Industry Regulatory Organization of Canada (IIROC),Canada’s self regulatory organization overseeing investment dealers and trading activity on debt and equity marketplaces.,Regulation,Public Disclosure
Investor,"A market participant focused on minimizing risk relative to speculators, also a general term for anyone investing funds.",Investor Types,Public Disclosure
Issue,"A company’s securities or the act of distributing them, issued shares are the portion of authorized shares sold.",Securities,Public Disclosure
Issuer Bid,"An issuer’s offer to buy back its own securities, often because management views them as undervalued.",Corporate Actions,Public Disclosure
Jitney,Execution and clearing of orders by one exchange member on behalf of another member.,Trading,Public Disclosure
Junior Bond Issue,A bond issue ranking behind senior debt because collateral or claims are pledged to higher priority issues.,Fixed Income,Public Disclosure
Junior Debt,Debt that ranks behind senior obligations in claims on assets and cash flows.,Credit Risk,Public Disclosure
Lagging Indicators,Indicators that tend to confirm economic trends after the economy has already shifted.,Economic Indicators,Public Disclosure
Last-In-First-Out (LIFO),An inventory valuation method assuming the most recently purchased items are the first used or sold.,Accounting,Public Disclosure
Leading Indicators,"Indicators that tend to move ahead of the overall economy, such as employment and profits.",Economic Indicators,Public Disclosure
Legal Investment,Rules in some provinces restricting trustees to approved lists of investments.,Regulation,Public Disclosure
Leverage,"Use of fixed charges or borrowed funds that amplifies gains or losses, affecting earnings and returns.",Corporate Finance,Public Disclosure
Leveraged Buy Out (LBO),A takeover financed largely with debt serviced by the acquired company’s cash flow and assets.,Corporate Finance,Public Disclosure
Liabilities,"A company’s debts and obligations, classified as current if due within one year and long term otherwise.",Accounting,Public Disclosure
Lien,A claim on pledged or mortgaged property to secure an obligation.,Credit,Public Disclosure
Life Annuity,"A contract providing regular payments for life in exchange for a lump sum, often using retirement funds.",Retirement,Public Disclosure
Limit Order,"An order to buy or sell at a specified price or better, setting a maximum buy price or minimum sell price.",Trading,Public Disclosure
Limited Liability,Shareholders’ responsibility for company debts is limited to the amount invested in shares.,Corporate Structure,Public Disclosure
Liquidation,"Converting assets to cash and distributing remaining proceeds after debts, typically paying preferred before common.",Insolvency,Public Disclosure
Liquidity,"How easily a security can be traded without materially affecting price, also a measure of near term financial flexibility.",Market Structure,Public Disclosure
Listed Stock,A stock traded on an exchange where the issuer meets listing standards and pays listing fees.,Equities,Public Disclosure
Listing Statement,An exchange document describing a company when its shares are accepted for listing.,Disclosure,Public Disclosure
Load,"A mutual fund charge covering distribution costs, charged on purchase or redemption depending on structure.",Mutual Funds,Public Disclosure
Locked In,A position with unrealized gain or loss that cannot be sold due to restrictions or lack of market.,Trading,Public Disclosure
Long,A position indicating ownership of a security.,Trading,Public Disclosure
Long-Term Bond or Debenture,A bond or debenture with maturity longer than 10 years.,Fixed Income,Public Disclosure
Low,The lowest price paid for a security during a specified period.,Market Data,Public Disclosure
Major Trend,The underlying long run price direction of a market despite short term moves.,Market Analysis,Public Disclosure
Managed Account,A professionally managed portfolio with ongoing discretionary trading authority for a fee.,Wealth Management,Public Disclosure
Margin Account,"An account using borrowed funds from a dealer to buy securities, secured by collateral and subject to margin calls.",Credit,Public Disclosure
Market Maker,A designated trader expected to provide liquidity by maintaining bids and offers in certain securities.,Market Structure,Public Disclosure
Market Order,An order to buy or sell immediately at the best available current price.,Trading,Public Disclosure
Market Out Clause,An underwriting clause allowing cancellation if markets change and the issue becomes unsaleable under specified conditions.,Capital Markets,Public Disclosure
Market Price,The most recent transaction price for a security.,Market Data,Public Disclosure
Marketable,Easily bought or sold in the market.,Market Structure,Public Disclosure
Material Change,"A significant change likely to affect a security’s market value or control, requiring disclosure to regulators.",Disclosure,Public Disclosure
Maturity,"The date a loan, bond, or debenture becomes due for repayment.",Fixed Income,Public Disclosure
Medium-Term Bond or Debenture,A bond or debenture maturing in more than three years but less than ten years.,Fixed Income,Public Disclosure
Member Firm,An investment dealer that is a member of a stock exchange or IIROC.,Regulation,Public Disclosure
Merger,The combination of companies into one continuing entity.,Corporate Finance,Public Disclosure
Minority Interest,"The portion of a subsidiary not owned by the parent, presented in consolidated statements to reflect outside ownership.",Accounting,Public Disclosure
Monetary Policy,Central bank actions to influence credit conditions and money supply to achieve economic goals.,Macroeconomics,Public Disclosure
Money Market,"Market for short term obligations such as T bills, commercial paper, bankers’ acceptances, and similar instruments.",Money Markets,Public Disclosure
Mortgage,"A loan agreement secured by real property, repaid typically through scheduled principal and interest payments.",Credit,Public Disclosure
Mortgage Backed Securities,Securities backed by pools of mortgages that pay interest and principal over time and trade based on interest rates.,Fixed Income,Public Disclosure
Mutual Funds,"Open end pooled investment vehicles that issue and redeem units, not generally exchange listed, with variable capitalization.",Mutual Funds,Public Disclosure
NASD,A U.S. self regulatory organization historically responsible for regulation of NASDAQ and OTC markets.,Regulation,Public Disclosure
NASDAQ,A U.S. electronic screen based market system for over the counter securities.,Markets,Public Disclosure
Negative Pledge Provision,A debenture covenant limiting future secured borrowing unless the debentures receive similar security.,Credit Risk,Public Disclosure
Negotiable,"Transferable by delivery, and for registered certificates, properly endorsed and guaranteed.",Securities Operations,Public Disclosure
Net Asset Value,"Total assets minus liabilities, also called shareholders’ equity in many contexts.",Accounting,Public Disclosure
Net Change,"The difference between a security’s closing price on consecutive trading days, adjusted for certain corporate actions.",Market Data,Public Disclosure
Net Earnings,"Profit remaining after expenses and taxes, from which dividends may be paid.",Financial Statements,Public Disclosure
Net Sales,"Gross sales minus taxes, returns, allowances, and discounts or rebates.",Financial Statements,Public Disclosure
Net Worth,"Total assets minus total liabilities, also called equity.",Accounting,Public Disclosure
New Issue,"A security offered for sale by an issuer for the first time, with proceeds used for financing or refinancing purposes.",Capital Markets,Public Disclosure
No Par Value (n.p.v.),"Common shares with no stated face value, a common practice in Canada.",Equity Markets,Public Disclosure
Nominal Interest Rate,The stated interest rate not adjusted for inflation.,Macroeconomics,Public Disclosure
Non-Cumulative,A preferred dividend feature where unpaid dividends do not accumulate.,Preferred Shares,Public Disclosure
Note,"An unsecured promise to pay, such as a promissory note.",Fixed Income,Public Disclosure
Odd Lot,"A share quantity smaller than a board lot, or in some markets, an amount smaller than a standard trading unit.",Trading,Public Disclosure
Off-the-Board,"Trades executed over the counter in unlisted securities, or special block trades not executed on an exchange.",Markets,Public Disclosure
Offer,"Same as ask, the lowest price a seller will accept, contrasted with bid.",Trading,Public Disclosure
Shareholders Of Record,Shareholders listed on the issuer’s records as of a specified date and entitled to declared distributions or rights.,Corporate Actions,Public Disclosure
Open-End or Mutual Fund Investment Company,An investment company that issues and redeems its own shares or units and is not exchange listed.,Mutual Funds,Public Disclosure
Open Order,An order valid until executed or cancelled.,Trading,Public Disclosure
Open Outcry,"A trading method using verbal bids and offers on exchange floors, now largely replaced by electronic markets.",Market Structure,Public Disclosure
Option,"A contract giving the right, not obligation, to buy or sell an underlying security at a set price within a set time.",Derivatives,Public Disclosure
Option Eligible Securities,Securities that meet exchange requirements to serve as underlying instruments for listed options.,Derivatives,Public Disclosure
Option Holder,The buyer of a call or put option.,Derivatives,Public Disclosure
Option Premium,The price paid by the option buyer to the writer for the rights in the contract.,Derivatives,Public Disclosure
Option Writer,The seller of a call or put option who receives premium and assumes contractual obligations.,Derivatives,Public Disclosure
Out-of-the-Money Option,"A call is out of the money if strike is above market price, a put is out of the money if strike is below market price.",Derivatives,Public Disclosure
Out-of-Line,A security trading at a level that appears inconsistent with comparable issues.,Market Analysis,Public Disclosure
Outstanding Shares,Shares that have been issued and are held by shareholders.,Equity Markets,Public Disclosure
Over-the-Counter (OTC),"A dealer based market where securities trade outside exchanges via phone or electronic systems, common for bonds.",Markets,Public Disclosure
Paper,A short term negotiable debt security or promise to pay.,Money Markets,Public Disclosure
Paper Profit,"An unrealized gain on a security, realized only when the security is sold.",Investment Basics,Public Disclosure
Par Value,"The stated face value of a bond, or an assigned value per share in corporate charter terms, often relevant for preferred shares.",Securities,Public Disclosure
Pari Passu,"In equal rank or proportion, often describing securities with equal claims.",Fixed Income,Public Disclosure
Participating Feature,A preferred share feature allowing participation in additional earnings beyond the fixed dividend.,Preferred Shares,Public Disclosure
Penny Stocks,"Low priced speculative stocks, often defined as trading below a stated threshold such as $3 per share.",Equities,Public Disclosure
Piggy Back Warrants,Warrants that upon exercise provide shares plus additional warrants issued later under stated terms.,Corporate Actions,Public Disclosure
Points,"Price increments where one point is $1 per share for stocks, and 1 percent of par for bonds and debentures.",Market Data,Public Disclosure
Poison Pill,"A defensive plan allowing shareholders to buy additional shares at a discount if a takeover is triggered, raising takeover cost.",Corporate Governance,Public Disclosure
Pooling of Interest,An acquisition accounting approach historically involving issuing shares for another company’s assets and combining at book values with adjustments.,Accounting,Public Disclosure
Portfolio,The collection of investments held by an individual or institution.,Investment Basics,Public Disclosure
Preferred Stocks or Shares,"Shares with priority over common in dividends and liquidation, typically paying fixed dividends and sometimes limited voting rights.",Preferred Shares,Public Disclosure
Premium,"An amount above par or stated value, also the price paid for an option contract.",Securities,Public Disclosure
Price-Earnings Ratio or PE Multiple,"A valuation ratio equal to share price divided by earnings per share, used to compare equities.",Equity Valuation,Public Disclosure
Primary Offering or Primary Market,The initial sale of a new security issue by the issuer.,Capital Markets,Public Disclosure
Prime Rate,The interest rate banks charge their most creditworthy borrowers.,Retail Banking,Public Disclosure
Principal,"The dealer acting for its own account, also the invested capital or face value of a bond depending on context.",Finance Fundamentals,Public Disclosure
Prior Preferred,A preferred share class ranking ahead of other preferred shares for dividends and liquidation proceeds.,Preferred Shares,Public Disclosure
Private Placements,Securities sold privately to a limited number of typically sophisticated buyers without a public prospectus.,Capital Markets,Public Disclosure
Pro Forma,Financial information presented as if a transaction occurred at an earlier date to illustrate expected impact.,Financial Reporting,Public Disclosure
Pro Rata,"In proportion, for example dividends paid based on shares owned.",Finance Fundamentals,Public Disclosure
Profit Taking,Selling securities to realize gains and convert unrealized profits into cash.,Trading,Public Disclosure
Program Trading,Computerized trading strategies exploiting price relationships between portfolios and related index futures or options.,Trading,Public Disclosure
Prospectus,A legal disclosure document describing securities offered to the public and relevant issuer information.,Disclosure,Public Disclosure
Proxy,Authorization allowing someone to vote a shareholder’s shares at a meeting.,Corporate Governance,Public Disclosure
Prudent Portfolio Rule,A trustee standard requiring investments consistent with what a prudent person would buy for others’ benefit.,Regulation,Public Disclosure
Purchase Fund,A fund used to retire outstanding preferred shares or debt by buying securities in the market under set limits.,Corporate Finance,Public Disclosure
Push-out,"In a split, delivery of new shares directly to registered holders without requiring surrender of old certificates.",Corporate Actions,Public Disclosure
Put Options,Options granting the right to sell an underlying security at a specified price within a set time.,Derivatives,Public Disclosure
Quotation or Quote,The current highest bid and lowest offer for a security.,Market Data,Public Disclosure
Rally,A swift rise in market prices or the price of a specific security.,Market Conditions,Public Disclosure
Reaction,A temporary decline following an upward price move.,Market Conditions,Public Disclosure
Real Estate Investment Trust (REIT),"An investment vehicle that holds real estate related assets and distributes income, traded as a security.",Real Assets,Public Disclosure
Real Interest Rate,"Nominal interest rate minus inflation, often measured using CPI change.",Macroeconomics,Public Disclosure
Record Date,"The date determining which shareholders are entitled to dividends, rights, or other distributions.",Corporate Actions,Public Disclosure
Red Herring,"A preliminary prospectus used to gauge interest while under regulatory review, not containing all final details.",Disclosure,Public Disclosure
Redemption,"Issuer repurchase of securities from holders under specified terms, time, and price.",Fixed Income,Public Disclosure
Refinancing or Refunding,"Issuing new securities to repay existing obligations, often to reduce cost or extend maturity.",Corporate Finance,Public Disclosure
Registered Pension Plan (RPP),A registered trust providing employee pension benefits with tax deductible contributions.,Retirement,Public Disclosure
Registered Representative,"A registered professional, now commonly called an investment advisor, who advises clients and executes trades.",Wealth Management,Public Disclosure
Registered Retirement Income Fund (RRIF),A tax deferral vehicle funded from an RRSP that requires minimum annual withdrawals taxed as income.,Retirement,Public Disclosure
Registered Retirement Savings Plan (RRSP),A retirement savings plan with tax deductible contributions and tax deferred growth until withdrawal.,Retirement,Public Disclosure
Registered Security,"A security recorded in the owner’s name on issuer records, transferable through endorsed certificates and transfer agents.",Securities Operations,Public Disclosure
Registered Tax Deferral Savings Plans,"Government approved plans such as RPPs, RRSPs, and RRIFs where growth is tax deferred subject to rules.",Retirement,Public Disclosure
Registrar,A trust company or agent responsible for issuing and registering security certificates.,Securities Operations,Public Disclosure
Registration,"Filing securities for distribution under securities laws, also the licensing of dealers and representatives with regulators.",Regulation,Public Disclosure
Reporting Issuer,A company with securities held by the public that must meet continuous disclosure requirements.,Disclosure,Public Disclosure
Repurchase Agreements,"Agreements where a seller sells a security and commits to repurchase it later, commonly used in government securities markets.",Money Markets,Public Disclosure
Resistance,"In technical analysis, a price level that tends to cap advances because selling interest increases.",Technical Analysis,Public Disclosure
Restricted Shares,Shares with limited or no voting rights that otherwise participate in earnings and liquidation like common shares.,Equities,Public Disclosure
Retained Earnings,"Cumulative profits kept in the business after expenses and dividends, used to fund operations and growth.",Accounting,Public Disclosure
Retractable,"A feature allowing holders to redeem a security on a specified date under defined conditions, often before maturity.",Fixed Income,Public Disclosure
Return,The income and or capital gain earned on an investment.,Investment Basics,Public Disclosure
Reverse Split,"Combining shares into fewer shares, increasing price per share and reducing shares outstanding.",Corporate Actions,Public Disclosure
Right,"A time limited privilege allowing existing shareholders to buy additional shares at a set price, often below market.",Corporate Actions,Public Disclosure
Right of Rescission,A purchaser’s right to cancel a new issue purchase within legal time limits if disclosure was materially incorrect or incomplete.,Regulation,Public Disclosure
Right of Withdrawal,A purchaser’s right to withdraw from a new issue purchase within a short period after receiving the prospectus.,Regulation,Public Disclosure
Risk,The probability or possibility of loss or adverse outcomes.,Risk Management,Public Disclosure
Scrip,A certificate representing fractional share entitlements exchangeable for cash by a stated date.,Corporate Actions,Public Disclosure
Seat,Traditional term for membership on a stock exchange.,Market Structure,Public Disclosure
SEC,"The U.S. Securities and Exchange Commission, a federal securities regulator.",Regulation,Public Disclosure
Secondary Distribution or Secondary Offering,"A public resale of a large block of shares after the initial issuance, often priced relative to market.",Equity Markets,Public Disclosure
Secondary Market,"Markets where existing securities trade after issuance, including exchanges and OTC markets.",Markets,Public Disclosure
Securities,"Transferable investment instruments such as stocks, bonds, notes, futures, and options.",Securities,Public Disclosure
Securities Administrator,A provincial authority responsible for administering securities legislation.,Regulation,Public Disclosure
Securities Advisor,"A registered person or firm providing general securities advice, often through publications.",Regulation,Public Disclosure
Securities Commission,A provincial body overseeing securities laws and market conduct.,Regulation,Public Disclosure
Securitization,"Transforming loans into tradable securities by pooling assets and selling claims on the pool, also broader disintermediation via markets.",Structured Finance,Public Disclosure
Self-Regulatory Organizations (SROs),Industry organizations that set and enforce market and member conduct rules under delegated authority.,Regulation,Public Disclosure
Selling Group,Dealers assisting with distribution of a new issue without taking underwriting financial responsibility.,Capital Markets,Public Disclosure
Senior Bond Issue,A bond issue with priority claims over junior issues on assets and earnings.,Fixed Income,Public Disclosure
Senior Debt,Debt ranking ahead of other obligations in claims on assets and cash flows.,Credit Risk,Public Disclosure
Serial Bond or Debenture,A bond or debenture with principal maturing in scheduled amounts over multiple years.,Fixed Income,Public Disclosure
Settlement Date,"The date payment and delivery must occur for a securities transaction, typically two business days in Canada.",Settlement,Public Disclosure
Shareholder or Stockholder,An owner of preferred or common shares of a company.,Equities,Public Disclosure
Shareholders' Equity,"Owners’ residual interest in a company, equal to assets minus liabilities.",Accounting,Public Disclosure
Shareholder of Record,A shareholder registered on issuer records and entitled to distributions and rights as of record dates.,Corporate Actions,Public Disclosure
Shares or Stocks,Certificates representing ownership in a corporation and claims on earnings and assets.,Equities,Public Disclosure
Short Selling,"Selling securities not owned with intent to buy back later at lower price, disclosed as a short sale at order time.",Trading,Public Disclosure
Short-term Bond,A bond or debenture maturing within three years.,Fixed Income,Public Disclosure
